image_path,curvature_score,saturation_score,transparency_score,symmetry_score,design_metric,std_dev
C:\Users\designIT_RA\Desktop\test\AA (19).jpg,0.1801520138978958,0.05025792866945267,0.4995541572570801,0.387882798910141,0.2794617246836424,0.17506613534332108
C:\Users\designIT_RA\Desktop\test\AA (2).jpg,0.10651947557926178,0.8363458514213562,0.5113458633422852,0.5157818794250488,0.492498267441988,0.25889580299536386
C:\Users\designIT_RA\Desktop\test\AA (20).jpg,0.37512508034706116,0.06574399769306183,0.7963394522666931,0.1936204582452774,0.3577072471380234,0.2760745395746096
C:\Users\designIT_RA\Desktop\test\AA (21).jpg,0.026407429948449135,0.19300000369548798,0.4286070466041565,0.13741305470466614,0.19635688373818994,0.14689162554367557
C:\Users\designIT_RA\Desktop\test\AA (22).jpg,0.24658755958080292,0.27011415362358093,0.1487114578485489,0.7471200823783875,0.35313331335783005,0.23197955066342116
C:\Users\designIT_RA\Desktop\test\AA (23).jpg,0.3496415913105011,0.14010192453861237,0.8125821948051453,0.44171538949012756,0.4360102750360966,0.24334145788999578
C:\Users\designIT_RA\Desktop\test\AA (24).jpg,0.7836766242980957,0.933843731880188,0.008380278944969177,0.4014127850532532,0.5318283550441265,0.35918310901503075
C:\Users\designIT_RA\Desktop\test\AA (25).jpg,0.08488410711288452,0.10088536888360977,0.48335880041122437,0.07455538958311081,0.18592091649770737,0.1719818715596291
C:\Users\designIT_RA\Desktop\test\AA (26).jpg,0.2166239619255066,0.12257653474807739,0.3913959562778473,0.2556346356868744,0.24655777215957642,0.09660210822671925
C:\Users\designIT_RA\Desktop\test\AA (27).jpg,0.2262185662984848,0.01601729728281498,0.23117594420909882,0.2566460072994232,0.18251445377245545,0.09681784501147102
C:\Users\designIT_RA\Desktop\test\AA (28).jpg,0.573985755443573,0.15805426239967346,0.34481051564216614,0.5067067742347717,0.3958893269300461,0.1606030878899584
C:\Users\designIT_RA\Desktop\test\AA (29).jpg,0.16490299999713898,0.28071072697639465,0.8052929639816284,0.12912987172603607,0.34500914067029953,0.2715868022721912
C:\Users\designIT_RA\Desktop\test\AA (3).jpg,0.19163449108600616,0.09873184561729431,0.29877781867980957,0.21204043924808502,0.20029614865779877,0.07111065260526675
C:\Users\designIT_RA\Desktop\test\AA (30).jpg,0.4409591257572174,0.8890231251716614,0.0012761871330440044,0.17414788901805878,0.3763515817699954,0.3348783850812454
C:\Users\designIT_RA\Desktop\test\AA (31).jpg,0.06861485540866852,0.018334519118070602,0.17694976925849915,0.05365970730781555,0.07938971277326345,0.05921113076558077
C:\Users\designIT_RA\Desktop\test\AA (32).jpg,0.3554588854312897,0.6311051249504089,0.28637072443962097,0.22024713456630707,0.37329546734690666,0.15633590942621473
C:\Users\designIT_RA\Desktop\test\AA (33).jpg,0.47065436840057373,0.030565403401851654,0.525842547416687,0.40013065934181213,0.35679824464023113,0.19354893314433694
C:\Users\designIT_RA\Desktop\test\AA (34).jpg,0.44622182846069336,0.5083910822868347,0.01877555623650551,0.4784403443336487,0.36295720282942057,0.1999258443765122
C:\Users\designIT_RA\Desktop\test\AA (35).jpg,0.0831243097782135,0.10094577074050903,0.03265270218253136,0.16154280304908752,0.09456639643758535,0.04607266636118143
C:\Users\designIT_RA\Desktop\test\AA (36).jpg,0.292976438999176,0.42322802543640137,0.37411877512931824,0.1347445547580719,0.3062669485807419,0.1094078757366333
C:\Users\designIT_RA\Desktop\test\AA (37).jpg,0.11161040514707565,0.3367356061935425,0.32382932305336,0.2679072916507721,0.26002065651118755,0.08950493164407229
C:\Users\designIT_RA\Desktop\test\AA (38).jpg,0.11023745685815811,0.13210901618003845,0.5427884459495544,0.3364132344722748,0.28038703836500645,0.17530736243997544
C:\Users\designIT_RA\Desktop\test\AA (39).jpg,0.26991644501686096,0.0886002629995346,0.1852875053882599,0.204066663980484,0.18696771934628487,0.06490732736958604
C:\Users\designIT_RA\Desktop\test\AA (40).jpg,0.12151502072811127,0.07942706346511841,0.5035600066184998,0.2761331796646118,0.2451588176190853,0.16619671208014752
C:\Users\designIT_RA\Desktop\test\AA (41).jpg,0.1958553045988083,0.6770212650299072,0.4213285744190216,0.44351333379745483,0.434429619461298,0.17031042353532913
C:\Users\designIT_RA\Desktop\test\AA (42).jpg,0.17015084624290466,0.08497735112905502,0.8883876800537109,0.3592478036880493,0.37569092027843,0.31220563931861267
C:\Users\designIT_RA\Desktop\test\AA (43).jpg,0.1884838044643402,0.4746173918247223,0.5891172289848328,0.12149549275636673,0.3434284795075655,0.19418779265650332
C:\Users\designIT_RA\Desktop\test\AA (44).jpg,0.19446371495723724,0.9468739032745361,0.7535017132759094,0.15598858892917633,0.5127069801092148,0.3446047761974319
